	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
318	-7.75982	0.0026	26.2525	0.00227791
319	-7.7638	0.00267916	26.2642	0.00235542
320	-7.77446	0.00272878	26.2759	0.00238057
321	-7.78084	0.00271906	26.2882	0.00236379
322	-7.78617	0.0027483	26.2977	0.00240173
323	-7.79505	0.0027298	26.3101	0.00240741
324	-7.80457	0.00276074	26.3244	0.00242954
325	-7.80725	0.00278263	26.3273	0.00245214
326	-7.81216	0.00278489	26.3416	0.00243276
327	-7.81805	0.00286591	26.3499	0.00248728
328	-7.82313	0.0028333	26.3625	0.0024674
329	-7.83066	0.0028704	26.3712	0.00247966
330	-7.83564	0.00285102	26.3855	0.00247688
331	-7.84273	0.0027377	26.3937	0.00237916
332	-7.84568	0.00296439	26.3994	0.00252306
333	-7.85358	0.0028036	26.4099	0.00243248
334	-7.86136	0.00286001	26.4245	0.00246361
335	-7.86721	0.00271884	26.4282	0.00237998
336	-7.87165	0.00278173	26.4418	0.00242586
337	-7.8802	0.00274846	26.4467	0.00239501
338	-7.88685	0.0027636	26.4608	0.00242898
339	-7.89202	0.0028028	26.4677	0.00244522
340	-7.89565	0.0027678	26.4781	0.00241184
341	-7.90153	0.00267974	26.4821	0.00237347
342	-7.90557	0.00272339	26.4972	0.00238946
343	-7.90893	0.00271357	26.4997	0.00238636
344	-7.9139	0.0027318	26.5073	0.00239833
345	-7.91883	0.00277442	26.5134	0.00242996
346	-7.92144	0.00291528	26.5219	0.00251621
347	-7.92727	0.00278924	26.5281	0.00243581
348	-7.93359	0.00286524	26.5427	0.00249298
349	-7.9399	0.00294467	26.5424	0.00254233
350	-7.94356	0.00297245	26.5588	0.00256594
351	-7.94845	0.00292961	26.5591	0.00252444
352	-7.95239	0.00289065	26.5697	0.00250434
353	-7.9592	0.0029873	26.5758	0.00257462
354	-7.96463	0.00292797	26.588	0.00254236
355	-7.96723	0.00289947	26.5873	0.00253374
356	-7.96852	0.00289389	26.5965	0.00251337
357	-7.97026	0.00286995	26.6007	0.00250958
358	-7.97716	0.00287787	26.6107	0.00250994
359	-8.04233	0.002846	26.7077	0.00249372
360	-8.30956	0.00289337	27.1223	0.00251628
361	-8.59566	0.0030015	27.5888	0.00259598
362	-8.78724	0.0028267	27.8784	0.00250884
363	-8.95475	0.00287697	28.1373	0.00252318
364	-9.23903	0.00285015	28.5686	0.00251873
365	-9.46256	0.00282485	28.9088	0.00251357
366	-9.62317	0.00291104	29.139	0.0025435
367	-9.72711	0.00293647	29.2913	0.00259711
368	-9.80143	0.00285377	29.3992	0.0025265
369	-9.89544	0.00292511	29.5273	0.00258281
370	-10.1036	0.00301869	29.8148	0.00265266
371	-10.3014	0.00289306	30.0895	0.00256518
372	-10.4481	0.00264723	30.2995	0.00242888
373	-10.5546	0.00288949	30.4399	0.00258157
374	-10.6301	0.00266889	30.5433	0.00245976
375	-10.7069	0.00269487	30.6445	0.00243467
376	-10.9075	0.00284248	30.906	0.00256135
377	-11.1259	0.00267122	31.1965	0.00249588
378	-11.2982	0.00290921	31.4137	0.00262643
379	-11.4188	0.00269382	31.5726	0.002502
380	-11.5129	0.00271857	31.6946	0.00249992
381	-11.5907	0.0028219	31.7915	0.00258069
382	-11.7336	0.00261812	31.967	0.00245488
383	-12.0084	0.00279303	32.3181	0.00257851
384	-12.2453	0.00265605	32.6137	0.00250245
385	-12.4101	0.0026853	32.8178	0.0025118
386	-12.5294	0.00273402	32.9586	0.00255976
387	-12.6593	0.00272013	33.1163	0.00254929
388	-12.8065	0.0027517	33.2901	0.00256685
389	-12.9266	0.00277237	33.4366	0.00259635
390	-13.0193	0.00261951	33.5424	0.00248096
391	-13.0891	0.00267436	33.6249	0.0025336
392	-13.1473	0.00278062	33.6902	0.00259104
393	-13.1898	0.00276696	33.7479	0.00260641
394	-13.2328	0.00256008	33.7889	0.00243226
395	-13.2677	0.00280145	33.8303	0.00261834
396	-13.2946	0.00292414	33.8681	0.00270377
397	-13.3247	0.00269174	33.8987	0.00254997
398	-13.3799	0.00267308	33.9601	0.00255014
399	-13.433	0.00280245	34.0186	0.00264531
400	-13.4808	0.00248278	34.0716	0.00240342
401	-13.5201	0.00277307	34.1163	0.00263255
402	-13.5551	0.00276081	34.1586	0.00263672
403	-13.5876	0.00255979	34.194	0.00248291
404	-13.615	0.00259756	34.2218	0.00249971
405	-13.6392	0.00275852	34.2491	0.00261012
406	-13.6828	0.00280237	34.3015	0.00264249
407	-13.7311	0.00257261	34.3486	0.00245938
408	-13.769	0.00261509	34.3959	0.00249179
409	-13.8035	0.00272164	34.4345	0.00260378
410	-13.8346	0.00272208	34.4662	0.0026016
411	-13.8628	0.00268337	34.4916	0.00256649
412	-13.8863	0.00263913	34.5203	0.00252204
413	-13.9094	0.00274431	34.5478	0.00257887
414	-13.9301	0.00279934	34.5719	0.00266083
415	-13.9492	0.00276991	34.5898	0.00263526
416	-13.9655	0.00286517	34.61	0.00271121
417	-13.9873	0.002674	34.628	0.00256274
418	-14.0048	0.00269298	34.6481	0.00256468
419	-14.0228	0.00281843	34.6686	0.00264745
420	-14.0361	0.00291003	34.6873	0.00268718
421	-14.0535	0.00279051	34.7056	0.00262478
422	-14.0655	0.00283491	34.7218	0.00266052
423	-14.0797	0.00284888	34.736	0.00269994
424	-14.0949	0.00284737	34.7524	0.0026816
425	-14.1114	0.00283713	34.7672	0.00266263
426	-14.1281	0.00277287	34.7816	0.00261626
427	-14.1414	0.00270147	34.7972	0.00253995
428	-14.1557	0.00269915	34.8167	0.00253238
429	-14.1685	0.00287088	34.827	0.00267378
430	-14.182	0.00264581	34.847	0.00250968
431	-14.1922	0.00275007	34.8569	0.00258773
432	-14.2049	0.00268344	34.8717	0.00256999
433	-14.2168	0.00272136	34.885	0.00259236
434	-14.2303	0.00276885	34.8984	0.00261857
435	-14.2425	0.00276167	34.9108	0.00260337
436	-14.2562	0.0026782	34.9209	0.00254718
437	-14.2692	0.00267656	34.9341	0.00251832
438	-14.281	0.00266977	34.9484	0.00251129
439	-14.2966	0.00270044	34.962	0.00254184
440	-14.3051	0.0026359	34.9741	0.00248629
441	-14.3158	0.00278801	34.9868	0.00261847
442	-14.3258	0.00265816	35.0008	0.00251996
443	-14.3351	0.0026711	35.01	0.00254746
444	-14.3474	0.0027735	35.0201	0.00262939
445	-14.3574	0.00275114	35.0337	0.00261512
446	-14.3682	0.00282249	35.0444	0.00264338
447	-14.3794	0.00280318	35.0526	0.00261373
448	-14.3914	0.00271176	35.0672	0.0025541
449	-14.4028	0.00275415	35.0746	0.00257687
450	-14.4114	0.00273174	35.0869	0.00257525
451	-14.4233	0.00265198	35.0953	0.00252836
452	-14.4346	0.00269023	35.1085	0.00254324
453	-14.4434	0.00276983	35.1178	0.00260577
454	-14.4524	0.0027	35.1296	0.00254706
455	-14.4627	0.00281354	35.1407	0.00264456
456	-14.4686	0.00267354	35.1498	0.00253794
457	-14.478	0.00287787	35.1594	0.00268879
458	-14.489	0.00288586	35.1699	0.00269546
459	-14.4986	0.00283801	35.1797	0.00266688
460	-14.5098	0.00287044	35.1926	0.0026767
461	-14.5187	0.00277343	35.2021	0.00259023
462	-14.53	0.00276115	35.2109	0.00258282
463	-14.5401	0.00267293	35.2223	0.00252882
464	-14.5499	0.00270057	35.2332	0.00255311
465	-14.5604	0.00277655	35.2398	0.00259931
466	-14.5674	0.00266857	35.2531	0.00252459
467	-14.5742	0.00268614	35.2589	0.00255163
468	-14.5808	0.00268315	35.2685	0.0025381
469	-14.5882	0.00271117	35.2794	0.002577
470	-14.5985	0.00277303	35.2882	0.00262344
471	-14.6062	0.00284289	35.3011	0.00268404
472	-14.6166	0.00285414	35.3063	0.00269638
473	-14.6272	0.00281337	35.3178	0.00264403
474	-14.6357	0.00275776	35.3242	0.0026125
475	-14.9808	0.00285601	35.6786	0.00268093
476	-15.5527	0.00272905	36.2773	0.00259142
477	-15.9259	0.00286507	36.6615	0.00274472
478	-16.1651	0.00288841	36.8915	0.00275008
479	-16.328	0.0027086	37.0537	0.00257851
480	-16.5924	0.00268021	37.3004	0.00260337
481	-16.8763	0.00245004	37.5739	0.00243469
482	-17.0741	0.0029714	37.7576	0.00276665
483	-17.2208	0.00288149	37.9005	0.0027202
484	-17.3977	0.00258577	38.0584	0.00252452
485	-17.7335	0.00274597	38.3632	0.00265671
486	-17.9961	0.00266979	38.5966	0.00254911
487	-18.1811	0.00274634	38.7587	0.00258781
488	-18.316	0.00265051	38.88	0.00251828
489	-18.4446	0.00272255	38.9944	0.0026086
490	-18.6832	0.002659	39.1917	0.00257412
491	-18.9001	0.00254069	39.3757	0.00251659
492	-19.0631	0.00273148	39.5112	0.00260965
493	-19.1916	0.00278293	39.6206	0.00262383
494	-19.3536	0.00274673	39.7559	0.00262541
495	-19.6038	0.00273755	39.9575	0.00262505
496	-19.808	0.00273709	40.1284	0.00262001
497	-19.9571	0.00260244	40.2438	0.00254167
498	-20.0653	0.00257805	40.3323	0.00254455
499	-20.1486	0.00272012	40.4041	0.00260958
500	-20.2227	0.00271478	40.4604	0.00263722
501	-20.3142	0.00261892	40.5291	0.00255169
502	-20.6919	0.00279091	40.8243	0.00266063
503	-21.065	0.00273553	41.1133	0.00265308
504	-21.3161	0.00258593	41.3043	0.00253187
505	-21.5049	0.00253375	41.438	0.00245949
506	-21.6405	0.00258737	41.5379	0.0025361
507	-21.741	0.00269489	41.6103	0.00258173
508	-21.8219	0.00284897	41.6721	0.00274112
509	-21.8901	0.00260595	41.7175	0.00250874
510	-21.9449	0.00289671	41.7608	0.00274366
511	-22.0057	0.00270574	41.7986	0.00264788
512	-22.0503	0.00265772	41.8344	0.00257861
513	-22.0932	0.00283906	41.8626	0.00267811
514	-22.1342	0.00270238	41.8905	0.00260371
515	-22.1744	0.00252879	41.9177	0.00248784
516	-22.2126	0.00275282	41.9494	0.00265732
517	-22.2498	0.00264848	41.9708	0.00255005
518	-22.2812	0.00248823	41.993	0.00244134
519	-22.313	0.00267349	42.0161	0.00257502
520	-22.3456	0.00283426	42.0412	0.00270964
521	-22.3798	0.00279312	42.0615	0.00267912
522	-22.4095	0.00259665	42.0825	0.00251123
523	-22.4394	0.00272582	42.1063	0.00262253
524	-22.4705	0.00279939	42.1267	0.00267564
525	-22.5019	0.00268448	42.1478	0.00258988
526	-22.5358	0.0027371	42.1673	0.00264334
527	-22.5642	0.00267992	42.1877	0.00260663
528	-22.5939	0.00279755	42.2089	0.00268395
529	-22.6206	0.00278971	42.2275	0.00265875
530	-22.6492	0.00275393	42.2453	0.0026284
531	-22.6738	0.00278935	42.2611	0.00263491
532	-22.6993	0.00258836	42.2807	0.00252507
533	-22.723	0.0027419	42.298	0.00264768
534	-22.7474	0.00283556	42.3152	0.00270311
535	-22.7769	0.00275567	42.3332	0.00265169
536	-22.8038	0.00262565	42.3492	0.00254694
537	-22.8266	0.00255936	42.3663	0.00249674
538	-22.8469	0.00269713	42.3827	0.00258344
539	-22.8674	0.00276911	42.3962	0.00263823
540	-22.8908	0.00264076	42.4139	0.00255805
