	Point 1 (Reference Step: 0)		Point 1 (Reference Step: 0)		Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
129	0.0204812	0.00381463	-0.06128	0.0024942	0.0131692	0.00374678	-0.0439647	0.0024074
130	0.0144986	0.00401052	-0.0611443	0.00260851	0.016597	0.00365181	-0.0456846	0.00237377
131	0.0167665	0.00373941	-0.0634278	0.00245759	0.0120636	0.00352295	-0.0429573	0.00230149
132	0.0185883	0.0038359	-0.0616152	0.00253957	0.013458	0.00364227	-0.0448471	0.00236812
133	0.0163117	0.00385265	-0.0626941	0.00252599	0.0118682	0.0037612	-0.0480496	0.00240757
134	0.0185173	0.00395412	-0.0631124	0.00256275	0.0111782	0.00364651	-0.0450736	0.00236177
135	0.014698	0.00407722	-0.0631243	0.00263578	0.0144562	0.0035904	-0.0456848	0.00235531
136	0.0199975	0.00379935	-0.0620422	0.00248523	0.0122236	0.00378953	-0.0449168	0.00240609
137	0.0182944	0.00397301	-0.0642999	0.0025916	0.0131163	0.00369356	-0.0468565	0.00237792
138	0.0164832	0.00383357	-0.063274	0.00251748	0.01405	0.0037293	-0.0449184	0.00240014
139	0.0175127	0.00377978	-0.0633503	0.00247037	0.0136316	0.00372637	-0.0452664	0.00237906
140	0.0181291	0.00398962	-0.0645801	0.00259417	0.0125241	0.00377969	-0.048852	0.00242384
141	0.0052765	0.00205468	-0.00306836	0.00117536	0.00158805	0.00185771	-0.0036809	0.00119208
142	-0.0230125	0.003029	0.109126	0.00196587	-0.0143154	0.00381015	0.0727809	0.00241395
143	-0.156323	0.00305372	0.637892	0.00201402	-0.0991775	0.0040084	0.443166	0.00256204
144	-0.34996	0.00372137	1.412	0.00246065	-0.225272	0.00390399	0.987975	0.00255836
145	-0.496108	0.00353588	1.93424	0.00238316	-0.317795	0.00394009	1.35445	0.00249732
146	-0.616017	0.00354139	2.32184	0.00241247	-0.389915	0.00404158	1.63347	0.00261302
147	-0.728092	0.00421478	2.69567	0.00271025	-0.464482	0.00375292	1.90802	0.00245351
148	-0.854319	0.00358082	3.14247	0.00250335	-0.551819	0.00371775	2.24577	0.00236828
149	-0.980287	0.00335975	3.57172	0.00231667	-0.632779	0.00386737	2.56008	0.0025082
150	-1.08666	0.00361744	3.8979	0.00253477	-0.707631	0.00381032	2.80529	0.00245301
151	-1.16649	0.00403894	4.14421	0.0026643	-0.764412	0.00360091	2.98533	0.00235916
152	-1.21941	0.00350672	4.32588	0.00249551	-0.798132	0.00378665	3.11793	0.00242237
153	-1.27399	0.00350983	4.45058	0.00251517	-0.837737	0.00366676	3.21128	0.00239374
154	-1.30036	0.00374029	4.54483	0.00256111	-0.850893	0.00350462	3.28187	0.00233125
155	-1.31901	0.00350555	4.60233	0.00246839	-0.860839	0.00376127	3.32628	0.0024323
156	-1.325	0.00329398	4.64218	0.00227182	-0.866652	0.00376287	3.35936	0.00246117
157	-1.34008	0.00365449	4.67125	0.00253838	-0.871594	0.00370396	3.37853	0.00243863
158	-1.37651	0.00351654	4.78539	0.00244026	-0.898683	0.00394676	3.46111	0.00255516
159	-1.42805	0.00401037	4.92679	0.00271132	-0.931949	0.0039529	3.56494	0.002561
160	-1.48538	0.00406651	5.07069	0.00280804	-0.969778	0.00363342	3.66856	0.00238044
161	-1.54886	0.00346966	5.29784	0.00240822	-1.0128	0.00372862	3.83701	0.00239504
162	-1.66613	0.00336186	5.65399	0.00238694	-1.09315	0.00400417	4.10347	0.00253666
