	Point 2 (Reference Step: 0)		Point 2 (Reference Step: 0)	
Step No.	x Displacement	Uncertainty of x Displacement	y Displacement	Uncertainty of y Displacement
	Displacement/mm	Displacement/mm	Displacement/mm	Displacement/mm
336	-9.39863	0.00220873	27.3681	0.00154034
337	-9.4102	0.00213359	27.3862	0.00148821
338	-9.42289	0.00217169	27.4041	0.00151005
339	-9.43406	0.00214267	27.4204	0.00150703
340	-9.44256	0.00213024	27.4371	0.00150785
341	-9.4516	0.00208762	27.4504	0.00146498
342	-9.46075	0.0021156	27.4686	0.00147749
343	-9.47272	0.00208883	27.4814	0.00147037
344	-9.48684	0.00208412	27.4986	0.00144924
345	-9.49742	0.00213697	27.5133	0.00150174
346	-9.50905	0.00224736	27.5269	0.00155931
347	-9.51612	0.0022858	27.5403	0.00158684
348	-9.52384	0.00227677	27.5558	0.00159052
349	-9.53067	0.00221696	27.5663	0.00155844
350	-9.53827	0.00217233	27.5812	0.00153974
351	-9.54466	0.00213529	27.5939	0.00150949
352	-9.55497	0.00201749	27.6062	0.00143093
353	-9.56251	0.00201507	27.6202	0.00142986
354	-9.57395	0.00196185	27.6322	0.00139321
355	-9.58292	0.0020122	27.6451	0.00142128
356	-9.59269	0.00204525	27.6566	0.00145769
357	-9.60273	0.0021808	27.6673	0.00153878
358	-9.61195	0.00227764	27.6775	0.00160783
359	-9.61889	0.00221159	27.6908	0.0015588
360	-9.62484	0.0023269	27.7014	0.00163069
361	-9.63045	0.00228076	27.7139	0.00161065
362	-9.63676	0.00224273	27.7236	0.00158588
363	-9.64303	0.00220456	27.7364	0.00156115
364	-9.65119	0.00215606	27.7469	0.00153043
365	-9.65851	0.00213884	27.7589	0.00151126
366	-9.66749	0.00210011	27.77	0.00147475
367	-9.67479	0.00214974	27.7806	0.00150541
368	-9.68349	0.00217884	27.7931	0.00153016
369	-9.69215	0.00218	27.8003	0.00152262
370	-9.69842	0.00210743	27.8128	0.00149394
371	-9.70397	0.00213712	27.8207	0.00152522
372	-9.70887	0.00210195	27.8315	0.00149921
373	-9.71477	0.00216662	27.8389	0.00153903
374	-9.7209	0.00212656	27.8489	0.00150796
375	-9.72768	0.00207929	27.8586	0.00148144
376	-9.73485	0.00213791	27.8679	0.00151279
377	-9.74282	0.002183	27.8765	0.00154651
378	-9.74977	0.0021852	27.8863	0.00153869
379	-9.75815	0.00223389	27.8956	0.00154717
380	-9.76543	0.00222061	27.9048	0.00155133
381	-9.77277	0.00224332	27.9148	0.00156019
382	-9.77937	0.00232095	27.9225	0.00160973
383	-9.78426	0.0023023	27.9313	0.00158875
384	-9.78913	0.00226267	27.9403	0.00158498
385	-9.79426	0.00224735	27.9487	0.00156623
386	-9.79815	0.00225646	27.9569	0.0015891
387	-9.80288	0.00220303	27.9648	0.0015595
388	-9.80866	0.00219304	27.9715	0.00156576
389	-9.81102	0.00218501	27.9809	0.00155649
390	-9.81449	0.0021515	27.9885	0.00153133
